,Unnamed: 0.1,Unnamed: 0,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,milliseconds_numeric
0,0,0,1,18,1,1,22,1,1,1,1,10.0,58,1:34:50.616,5690616,39,2,1:27.452,218.300,1,5690616
1,1,1,2,18,2,2,3,5,2,2,2,8.0,58,+5.478,5696094,41,3,1:27.739,217.586,1,5696094
2,2,2,3,18,3,3,7,7,3,3,3,6.0,58,+8.163,5698779,41,5,1:28.090,216.719,1,5698779
3,3,3,4,18,4,4,5,11,4,4,4,5.0,58,+17.181,5707797,58,7,1:28.603,215.464,1,5707797
4,4,4,5,18,5,1,23,3,5,5,5,4.0,58,+18.014,5708630,43,1,1:27.418,218.385,1,5708630
5,5,22,23,19,8,6,1,2,1,1,1,10.0,56,1:31:18.555,5478555,37,2,1:35.405,209.158,1,5478555
6,6,23,24,19,9,2,4,4,2,2,2,8.0,56,+19.570,5498125,39,6,1:35.921,208.033,1,5498125
7,7,24,25,19,5,1,23,8,3,3,3,6.0,56,+38.450,5517005,19,7,1:35.922,208.031,1,5517005
8,8,25,26,19,15,7,11,3,4,4,4,5.0,56,+45.832,5524387,53,8,1:36.068,207.715,1,5524387
9,9,26,27,19,1,1,22,9,5,5,5,4.0,56,+46.548,5525103,53,3,1:35.462,209.033,1,5525103
10,10,27,28,19,2,2,3,5,6,6,6,3.0,56,+49.833,5528388,55,1,1:35.366,209.244,1,5528388
11,11,28,29,19,17,9,10,6,7,7,7,2.0,56,+1:08.130,5546685,53,12,1:36.696,206.366,1,5546685
12,12,29,30,19,4,4,5,7,8,8,8,1.0,56,+1:10.041,5548596,40,10,1:36.288,207.240,1,5548596
13,13,30,31,19,14,9,9,12,9,9,9,0.0,56,+1:16.220,5554775,55,9,1:36.206,207.417,1,5554775
14,14,31,32,19,18,11,16,11,10,10,10,0.0,56,+1:26.214,5564769,56,4,1:35.715,208.481,1,5564769
15,15,32,33,19,12,4,6,13,11,11,11,0.0,56,+1:32.202,5570757,52,15,1:36.956,205.812,1,5570757
16,16,44,45,20,13,6,2,2,1,1,1,10.0,57,1:31:06.970,5466970,38,3,1:33.600,208.153,1,5466970
17,17,45,46,20,8,6,1,4,2,2,2,8.0,57,+3.339,5470309,35,4,1:33.709,207.911,1,5470309
18,18,46,47,20,9,2,4,1,3,3,3,6.0,57,+4.998,5471968,55,5,1:33.775,207.765,1,5471968
19,19,47,48,20,2,2,3,6,4,4,4,5.0,57,+8.409,5475379,48,2,1:33.565,208.231,1,5475379
20,20,48,49,20,5,1,23,5,5,5,5,4.0,57,+26.789,5493759,49,1,1:33.193,209.062,1,5493759
21,21,49,50,20,15,7,11,7,6,6,6,3.0,57,+41.314,5508284,45,7,1:34.204,206.819,1,5508284
22,22,50,51,20,17,9,10,11,7,7,7,2.0,57,+45.473,5512443,51,8,1:34.305,206.597,1,5512443
23,23,51,52,20,3,3,7,8,8,8,8,1.0,57,+55.889,5522859,57,6,1:34.072,207.109,1,5522859
24,24,52,53,20,10,7,12,13,9,9,9,0.0,57,+1:09.500,5536470,56,9,1:34.807,205.503,1,5536470
25,25,53,54,20,4,4,5,10,10,10,10,0.0,57,+1:17.181,5544151,35,13,1:35.194,204.668,1,5544151
26,26,54,55,20,22,11,17,12,11,11,11,0.0,57,+1:17.862,5544832,40,10,1:34.855,205.399,1,5544832
27,27,66,67,21,8,6,1,1,1,1,1,10.0,66,1:38:19.051,5899051,46,1,1:21.670,205.191,1,5899051
28,28,67,68,21,13,6,2,3,2,2,2,8.0,66,+3.228,5902279,45,2,1:21.801,204.863,1,5902279
29,29,68,69,21,1,1,22,5,3,3,3,6.0,66,+4.187,5903238,20,3,1:22.017,204.323,1,5903238
30,30,69,70,21,9,2,4,4,4,4,4,5.0,66,+5.694,5904745,20,4,1:22.106,204.102,1,5904745
31,31,70,71,21,17,9,10,7,5,5,5,4.0,66,+35.938,5934989,19,8,1:22.564,202.969,1,5934989
32,32,71,72,21,18,11,16,13,6,6,6,3.0,66,+53.010,5952061,66,5,1:22.353,203.489,1,5952061
33,33,72,73,21,6,3,8,12,7,7,7,2.0,66,+58.244,5957295,48,15,1:23.549,200.576,1,5957295
34,34,73,74,21,15,7,11,8,8,8,8,1.0,66,+59.435,5958486,45,10,1:22.758,202.494,1,5958486
35,35,74,75,21,2,2,3,9,9,9,9,0.0,66,+1:03.073,5962124,21,7,1:22.519,203.080,1,5962124
36,36,88,89,22,13,6,2,1,1,1,1,10.0,58,1:26:49.451,5209451,16,3,1:26.666,221.734,1,5209451
37,37,89,90,22,1,1,22,3,2,2,2,8.0,58,+3.779,5213230,31,2,1:26.529,222.085,1,5213230
38,38,90,91,22,8,6,1,4,3,3,3,6.0,58,+4.271,5213722,20,1,1:26.506,222.144,1,5213722
39,39,91,92,22,9,2,4,5,4,4,4,5.0,58,+21.945,5231396,17,4,1:26.780,221.442,1,5231396
40,40,92,93,22,2,2,3,9,5,5,5,4.0,58,+38.741,5248192,20,5,1:27.219,220.328,1,5248192
41,41,93,94,22,4,4,5,7,6,6,6,3.0,58,+53.724,5263175,57,6,1:27.280,220.174,1,5263175
42,42,94,95,22,17,9,10,6,7,7,7,2.0,58,+1:04.229,5273680,14,7,1:27.630,219.294,1,5273680
43,43,95,96,22,3,3,7,11,8,8,8,1.0,58,+1:11.406,5280857,55,9,1:27.795,218.882,1,5280857
44,44,96,97,22,14,9,9,10,9,9,9,0.0,58,+1:15.270,5284721,41,12,1:27.966,218.457,1,5284721
45,45,97,98,22,15,7,11,8,10,10,10,0.0,58,+1:16.344,5285795,52,11,1:27.926,218.556,1,5285795
46,46,108,109,23,1,1,22,3,1,1,1,10.0,76,2:00:42.742,7242742,71,6,1:18.510,153.152,1,7242742
47,47,109,110,23,9,2,4,5,2,2,2,8.0,76,+3.064,7245806,75,5,1:17.933,154.286,1,7245806
48,48,110,111,23,13,6,2,1,3,3,3,6.0,76,+4.811,7247553,76,4,1:17.886,154.379,1,7247553
49,49,111,112,23,17,9,10,9,4,4,4,5.0,76,+19.295,7262037,74,8,1:19.036,152.133,1,7262037
50,50,112,113,23,20,5,15,19,5,5,5,4.0,76,+24.657,7267399,74,7,1:18.787,152.614,1,7267399
51,51,113,114,23,22,11,17,14,6,6,6,3.0,76,+28.408,7271150,75,9,1:19.574,151.104,1,7271150
52,52,114,115,23,6,3,8,13,7,7,7,2.0,76,+30.180,7272922,75,13,1:19.910,150.469,1,7272922
53,53,115,116,23,5,1,23,4,8,8,8,1.0,76,+33.191,7275933,74,2,1:17.282,155.586,1,7275933
54,54,116,117,23,8,6,1,2,9,9,9,0.0,76,+33.792,7276534,74,1,1:16.689,156.789,1,7276534
55,55,128,129,24,9,2,4,2,1,1,1,10.0,70,1:36:24.227,5784227,47,4,1:17.539,202.473,1,5784227
56,56,129,130,24,2,2,3,8,2,2,2,8.0,70,+16.495,5800722,25,2,1:17.430,202.758,1,5800722
57,57,130,131,24,14,9,9,13,3,3,3,6.0,70,+23.352,5807579,36,7,1:18.085,201.057,1,5807579
58,58,131,132,24,10,7,12,11,4,4,4,5.0,70,+42.627,5826854,31,17,1:19.087,198.510,1,5826854
59,59,132,133,24,13,6,2,6,5,5,5,4.0,70,+43.934,5828161,11,6,1:18.006,201.261,1,5828161
60,60,133,134,24,15,7,11,14,6,6,6,3.0,70,+47.775,5832002,38,15,1:18.870,199.056,1,5832002
61,61,134,135,24,22,11,17,9,7,7,7,2.0,70,+53.597,5837824,35,10,1:18.301,200.503,1,5837824
62,62,135,136,24,20,5,15,19,8,8,8,1.0,70,+54.120,5838347,33,12,1:18.532,199.913,1,5838347
63,63,136,137,24,5,1,23,7,9,9,9,0.0,70,+54.433,5838660,62,11,1:18.462,200.091,1,5838660
64,64,137,138,24,3,3,7,5,10,10,10,0.0,70,+54.749,5838976,14,5,1:17.977,201.336,1,5838976
65,65,138,139,24,18,11,16,20,11,11,11,0.0,70,+1:07.540,5851767,58,19,1:19.352,197.847,1,5851767
66,66,139,140,24,17,9,10,10,12,12,12,0.0,70,+1:11.299,5855526,51,8,1:18.201,200.759,1,5855526
67,67,148,149,25,13,6,2,2,1,1,1,10.0,70,1:31:50.245,5510245,20,2,1:16.729,206.956,1,5510245
68,68,149,150,25,8,6,1,1,2,2,2,8.0,70,+17.984,5528229,16,1,1:16.630,207.224,1,5528229
69,69,150,151,25,15,7,11,4,3,3,3,6.0,70,+28.250,5538495,12,7,1:17.567,204.721,1,5538495
70,70,151,152,25,5,1,23,10,4,4,4,5.0,70,+28.929,5539174,46,3,1:17.134,205.870,1,5539174
71,71,152,153,25,9,2,4,5,5,5,5,4.0,70,+30.512,5540757,16,4,1:17.172,205.768,1,5540757
72,72,153,154,25,17,9,10,6,6,6,6,3.0,70,+40.304,5550549,22,6,1:17.507,204.879,1,5550549
